id	en1	jp1	en2	jp2	level	similar
199	sadden	悲しませる、悲しくさせる	The news of her departure will sadden everyone in the office.	彼女の去るという知らせは、オフィスの皆を悲しませるでしょう。	1	[625,2662,4836,3113,2226]
200	struggle	闘い、苦闘すること	She had to struggle to finish her homework on time.	彼女は宿題を時間通りに終わらせるために苦闘しなければならなかった。	1	[1760,9719,2176,9788,10028]
201	waiter	ウェイター、給仕人	The waiter brought our food quickly and with a smile.	ウェイターは私たちの食事を素早く、笑顔で持ってきてくれました。	1	[9564,10834,7361,424,1548]
202	tighten	締める、きつくする	Please tighten the screws.	ネジを締めてください。	1	[241,4747,8263,2102,272]
203	stocking	ストッキング、女性が着用する足にフィットする衣類	She wore a beautiful dress along with black stockings for the party.	彼女はパーティーのために美しいドレスと黒いストッキングを着用しました。	1	[624,1165,3749,4004,1432]
204	reflection	反射、映り込み、内省	The reflection of the mountains on the lake was breathtaking.	湖に映る山々の反射は息をのむほど美しかった。	1	[6261,8779,167,751,4576]
205	attentive	注意深い、気配りのある	He was very attentive during the lecture.	彼は授業中とても注意深く聞いていた。	1	[7582,5610,452,5736,5840]
206	slight	わずかな、少しの	There was a slight chance of rain today.	今日は雨が降る可能性がわずかにありました。	1	[3418,10080,7047,9038,706]
207	insect	昆虫	The garden was filled with colorful insects buzzing around the flowers.	その庭は色とりどりの昆虫でいっぱいで、花の周りを飛び回っていました。	1	[1430,6961,3981,731,8442]
208	road	道路、道	The road ahead was long and winding.	前方の道は長く曲がりくねっていました。	1	[10665,8026,6026,8343,7836]
209	weather	天気	The weather is so nice today that we decided to go for a picnic.	今日は天気が良いので、ピクニックに行くことにしました。	1	[598,9861,8563,6558,3281]
210	body	体、身体	The human body is capable of amazing things.	人間の体は驚くべきことができる。	1	[6938,1743,2510,926,10218]
211	excellent	優れた、卓越した	His presentation was excellent, and it impressed everyone.	彼のプレゼンテーションは非常に優れていて、皆を感動させました。	1	[5610,58,6334,296,5718]
212	receive	受け取る	I received a gift.	私はプレゼントを受け取りました。	1	[896,107,711,840,4088]
213	try	試みる	He tried many times to learn the new skill.	彼は新しいスキルを習得するために何度も挑戦しました。	1	[5797,1371,5675,387,6123]
214	demand	要求、需要	The company had to increase production to meet the high demand for their new product.	その会社は新しい商品の高い需要に応えるために生産を増やさなければならなかった。	1	[1639,1871,494,8328,1123]
215	bribery	贈収賄、賄賂	The politician was charged with bribery.	その政治家は贈収賄の罪で告発されました。	1	[1650,7654,3402,3248,7675]
216	detail	詳細、細部	Please provide me with the details of the project.	プロジェクトの詳細を教えてください。	1	[9903,2418,10668,1923,9706]
217	list	リスト、一連の項目	Please make a list of the groceries we need to buy.	私たちが買うべき食品のリストを作ってください。	1	[111,1683,503,9240,6551]
218	level	レベル、段階	She reached a new level of skill in her piano playing.	彼女はピアノ演奏の新しいレベルの技術に達しました。	1	[8494,807,9685,6903,1413]
219	wait	待つ	He was reading a book while he waited for his friend.	彼は友達を待つ間、本を読んでいました。	1	[10761,160,2066,8217,6496]
220	high	高い、（程度や価値が）高い	The mountain is very high and difficult to climb.	その山は非常に高く、登るのが難しいです。	1	[2764,1645,5623,9884,6064]
221	accident	事故	He was injured in an accident while driving.	彼は運転中に事故に巻き込まれて怪我をしました。	1	[2630,253,8339,7974,8293]
222	below	以下、下に	The temperature dropped below freezing last night.	昨夜、気温が氷点下に下がりました。	1	[2171,1311,6406,1039,9259]
223	address	住所、演説、取り組む、対処する	She told her friend her new address.	彼女は新しい住所を友達に教えました。	1	[4325,576,2214,3318,9431]
224	disappoint	失望させる、期待を裏切る	I was disappointed when I found out the concert was canceled.	コンサートがキャンセルされたと知った時、私は失望しました。	1	[8195,9820,8795,8053,10860]
225	turn	回転する、変える	Please turn right at the next traffic light.	次の信号で右に曲がってください。	1	[10292,1159,10858,1175,4870]
226	effect	影響、効果	The new policy is expected to have a positive effect on the economy.	新しい政策は経済に良い影響を与えると期待されています。	1	[3875,5765,9821,6890,5679]
227	shave	剃る	He shaves his face every morning.	彼は毎朝、顔を剃ります。	1	[1997,1670,7901,6571,4261]
228	quarrel	口論、言い争い	They had a loud quarrel over the best way to solve the problem.	彼らは問題を解決する最良の方法について激しい口論をしました。	1	[8238,10013,7708,7360,8075]
229	politician	政治家	The politician made a passionate speech to inspire the crowd.	その政治家は群衆を鼓舞するために情熱的な演説をしました。	1	[2470,3041,2164,3997,5807]
230	experience	経験	He gained valuable experience by traveling to many countries.	彼は多くの国を旅して、貴重な経験を積みました。	1	[541,5980,2593,281,9612]
231	hurry	急ぐ、急いで行う	Please hurry up, or we'll be late for the movie.	急いでください、さもなければ映画に遅れます。	1	[6658,8482,3543,849,9715]
232	coal	石炭	The factory relies on coal as its main source of energy.	その工場は、エネルギーの主要な源として石炭を利用しています。	1	[8744,8780,6420,5611,5900]
233	heaven	天国	She felt as if she were in heaven when she was with her loved one.	彼女は愛する人と一緒にいるとき、まるで天国にいるかのように感じました。	1	[9835,7395,3092,2655,7345]
234	inn	宿泊所、小さなホテル	We found a cozy inn by the river for our weekend getaway.	私たちは週末の小旅行のために川のそばにある居心地の良い宿を見つけました。	1	[597,2218,1286,10214,3917]
235	shade	影、陰	Sitting under the tree, a cool shade spread out on the ground.	木の下に座ると、涼しい影が地面に広がりました。	1	[10825,1563,91,531,9086]
236	meantime	その間、同時に	In the meantime, I was watching a soccer match while she was cooking.	彼女は料理をしている間、僕はサッカーの試合を見ていました。	1	[3476,3639,3286,2206,7540]
237	knee	膝	He fell and hurt his knee while playing soccer.	彼はサッカーをしている時に転んで膝を痛めました。	1	[477,5734,6006,2772,1966]
238	servant	召使い、使用人	The wealthy family hired a servant to help with daily chores.	その裕福な家族は日常の雑用を手伝うために召使いを雇いました。	1	[1249,8680,10463,1170,4436]
239	safe	安全な、危険がない	Make sure to keep your valuables in a safe place.	貴重品は安全な場所に保管するようにしてください。	1	[4917,2056,9722,7008,9057]
240	forgive	許す	I decided to forgive him.	私は彼を許すことにしました。	1	[3976,298,5802,3140,2729]
241	screw	ねじ、ねじ込む	He tightened the screw.	彼はねじを締めた。	1	[202,4747,572,7572,7456]
242	scarce	希少な、乏しい	In areas where water supply is scarce, agriculture faces significant challenges.	水の供給が希少な地域では、農業に大きな影響が及びます。	1	[6807,5182,8710,7820,4539]
243	feel	感じる、感情を持つ	I always feel happy when I spend time with my friends.	友達と一緒に過ごすと、いつも幸せな気持ちになります。	1	[1385,9001,1033,9873,5618]
244	profession	職業、専門職	She chose teaching as her profession because she loves working with children.	彼女は子供たちと働くのが好きなので、教職を彼女の職業として選びました。	1	[8294,6539,9357,9186,9716]
245	whip	ムチ、しばく、刺激するための道具や動作	He used a whip to urge the horses to run faster.	彼は馬をもっと速く走らせるためにムチを使った。	1	[10272,3102,75,2796,2108]
246	marriage	結婚、婚姻	Their marriage was celebrated with a big party surrounded by family and friends.	彼らの結婚は、家族と友人に囲まれて大きなパーティーで祝われました。	1	[2203,5386,3408,3539,2540]
247	lawyer	弁護士	He has helped many clients as a well-known lawyer.	彼は有名な弁護士として、多くの依頼人を助けてきました。	1	[7335,10146,5062,4357,6955]
248	sir	敬意を表す男性、もしくは士官	The sir offered his assistance to anyone in need.	その紳士は、助けを必要とする人に支援を申し出ました。	1	[961,7562,6275,8412,1827]
249	kill	殺す、死なせる	He was determined to kill the dangerous monster that had terrorized the village.	彼は村を terrorized していた危険なモンスターを殺す決心をしていた。	1	[5628,3705,5265,2861,4795]
